img,avg_stop_distance
486.jpg,220.57976658948624
487.jpg,219.86375286237922
488.jpg,230.8822350409247
489.jpg,214.5571769400438
490.jpg,226.55423482435816
491.jpg,194.22142115051852
492.jpg,646.2117580854512
493.jpg,295.1942925343136
494.jpg,222.24783555410392
495.jpg,299.9465708173885
496.jpg,555.234039587995
497.jpg,440.9511256828644
498.jpg,470.35214332874165
499.jpg,1115.4231934519066
500.jpg,771.3454135564531
501.jpg,1023.7495372587268
502.jpg,396.06751454056246
503.jpg,852.050738482843
504.jpg,438.7213364734225
505.jpg,456.8838916486629
506.jpg,355.4663700878123
507.jpg,420.80991515940747
508.jpg,365.14012235192297
509.jpg,386.50354762114654
510.jpg,460.28859709185775
511.jpg,702.6880861477753
512.jpg,954.0267587509006
513.jpg,593.1674539631987
514.jpg,1054.3551450371008
515.jpg,758.4256308373396
516.jpg,1048.1414873375672
517.jpg,1011.2628157620187
518.jpg,375.4670583767105
519.jpg,285.14493765742407
520.jpg,272.65467963580835
521.jpg,382.3072703484394
522.jpg,268.5413768618936
523.jpg,343.5077999796737
524.jpg,905.0753180434274
525.jpg,402.5687710734071
526.jpg,435.162077593728
527.jpg,1234.31233854827
528.jpg,1042.6901447713103
529.jpg,701.234038745541
530.jpg,1248.5970453895113
531.jpg,328.6631641493832
532.jpg,316.2047980415787
533.jpg,315.20429660273066
534.jpg,366.8602152055489
535.jpg,318.6305314185617
536.jpg,279.10715167851833
537.jpg,334.17179626040496
538.jpg,319.08955116621377
539.jpg,299.64902684184295
540.jpg,253.203751291952
541.jpg,273.5751448730447
542.jpg,267.3103331856419
543.jpg,307.751430384142
544.jpg,1100.6340968385887
545.jpg,318.2368840867606
546.jpg,287.11202698504263
547.jpg,544.4639156563538
548.jpg,358.5707221387269
549.jpg,378.8480297195229
550.jpg,385.50746965474104
551.jpg,375.8397556386812
552.jpg,362.76098213447693
553.jpg,368.76834051521917
554.jpg,379.5895008235387
555.jpg,497.54637169541655
556.jpg,539.1415188832145
557.jpg,412.3922280535573
558.jpg,592.0828186713228
559.jpg,322.8065567515351
560.jpg,272.67164636913856
561.jpg,723.0373100493862
562.jpg,198.64274705513284
563.jpg,215.25701902574147
564.jpg,229.9861061840441
565.jpg,194.3524056366317
566.jpg,215.09743550168957
567.jpg,227.91151857910455
568.jpg,219.44633550349383
569.jpg,220.50288480203804
570.jpg,213.49928343077133
571.jpg,210.19029540015794
572.jpg,251.27459845053426
573.jpg,177.51882603542876
574.jpg,197.31813892743537
575.jpg,205.7069214500436
576.jpg,188.644007228082
577.jpg,239.81928164298535
578.jpg,244.8812653845499
579.jpg,204.49270672182087
580.jpg,205.21840033988445
581.jpg,188.71302207301855
582.jpg,289.8763895588233
583.jpg,208.2601207989902
584.jpg,224.03314248019083
585.jpg,198.34293489368406
586.jpg,229.3926701700366
587.jpg,223.76639725157628
588.jpg,235.0190383343838
589.jpg,195.45246636411258
590.jpg,197.71067069796845
591.jpg,201.73460299800837
